Trainer: 2026-05-03 23:19:04,460 [INFO] use_for_loop=False
Trainer: 2026-05-03 23:19:05,679 [INFO] Start to train for 3000 iterations.
Trainer: 2026-05-03 23:19:10,141 [INFO] Iter=10, size=128, max=218.6403, avg=163.9139, min=9.2339, std=47.7230
Trainer: 2026-05-03 23:19:13,439 [INFO] Iter=20, size=128, max=220.9296, avg=160.9435, min=11.7289, std=54.5817
Trainer: 2026-05-03 23:19:16,400 [INFO] Iter=30, size=128, max=263.2927, avg=173.1317, min=10.4460, std=56.3252
Trainer: 2026-05-03 23:19:19,492 [INFO] Iter=40, size=128, max=139.8714, avg=73.2680, min=9.4508, std=25.7282
Trainer: 2026-05-03 23:19:22,617 [INFO] Iter=50, size=128, max=240.5723, avg=181.5431, min=13.8915, std=54.7746
Trainer: 2026-05-03 23:19:24,089 [INFO] [TEST] Iter=50, #tests=32, max=510.1841, avg=212.5642, min=-0.0006, std=213.6384
Trainer: 2026-05-03 23:19:27,083 [INFO] Iter=60, size=128, max=197.0275, avg=139.8577, min=4.7789, std=42.9863
Trainer: 2026-05-03 23:19:30,266 [INFO] Iter=70, size=128, max=214.7586, avg=140.3299, min=7.4800, std=69.1812
Trainer: 2026-05-03 23:19:33,204 [INFO] Iter=80, size=128, max=94.9489, avg=64.7964, min=4.9673, std=23.7495
Trainer: 2026-05-03 23:19:36,321 [INFO] Iter=90, size=128, max=199.8881, avg=137.8981, min=3.8385, std=50.3472
Trainer: 2026-05-03 23:19:39,398 [INFO] Iter=100, size=128, max=268.2851, avg=153.3008, min=9.0132, std=61.8205
Trainer: 2026-05-03 23:19:39,407 [INFO] [TEST] Iter=100, #tests=32, max=528.2427, avg=237.0488, min=0.0342, std=222.6852
Trainer: 2026-05-03 23:19:45,383 [INFO] Iter=110, size=128, max=239.2738, avg=157.3596, min=8.2815, std=55.5656
Trainer: 2026-05-03 23:19:48,948 [INFO] Iter=120, size=128, max=252.2008, avg=175.8754, min=8.4704, std=70.8756
Trainer: 2026-05-03 23:19:52,083 [INFO] Iter=130, size=128, max=321.9019, avg=159.2588, min=13.0992, std=74.4242
Trainer: 2026-05-03 23:19:55,699 [INFO] Iter=140, size=128, max=193.0561, avg=124.0264, min=12.0951, std=38.5903
Trainer: 2026-05-03 23:19:59,331 [INFO] Iter=150, size=128, max=189.1219, avg=135.1605, min=12.0555, std=47.5182
Trainer: 2026-05-03 23:19:59,354 [INFO] [TEST] Iter=150, #tests=32, max=531.1086, avg=140.3167, min=0.0256, std=196.2770
Trainer: 2026-05-03 23:20:02,661 [INFO] Iter=160, size=128, max=279.4703, avg=189.4155, min=6.6314, std=58.2458
Trainer: 2026-05-03 23:20:05,959 [INFO] Iter=170, size=128, max=203.4247, avg=119.5453, min=12.1143, std=38.2879
Trainer: 2026-05-03 23:20:09,049 [INFO] Iter=180, size=128, max=184.2829, avg=120.8008, min=9.2245, std=49.0882
Trainer: 2026-05-03 23:20:15,235 [INFO] Iter=190, size=128, max=191.7969, avg=133.1895, min=7.6631, std=46.8226
Trainer: 2026-05-03 23:20:18,784 [INFO] Iter=200, size=128, max=173.1333, avg=110.2606, min=6.4510, std=48.4543
Trainer: 2026-05-03 23:20:18,811 [INFO] [TEST] Iter=200, #tests=32, max=462.5463, avg=123.8086, min=-0.0109, std=181.0765
Trainer: 2026-05-03 23:20:22,193 [INFO] Iter=210, size=128, max=184.3173, avg=124.2804, min=5.1199, std=42.4128
Trainer: 2026-05-03 23:20:25,580 [INFO] Iter=220, size=128, max=292.2485, avg=187.1142, min=9.5608, std=76.8510
Trainer: 2026-05-03 23:20:28,855 [INFO] Iter=230, size=128, max=234.4123, avg=169.3939, min=14.4586, std=56.1798
Trainer: 2026-05-03 23:20:32,435 [INFO] Iter=240, size=128, max=191.2283, avg=132.4830, min=6.4661, std=47.6049
Trainer: 2026-05-03 23:20:38,677 [INFO] Iter=250, size=128, max=208.3591, avg=128.8352, min=8.5763, std=52.4966
Trainer: 2026-05-03 23:20:38,703 [INFO] [TEST] Iter=250, #tests=32, max=524.2981, avg=189.1461, min=-0.0000, std=221.3744
Trainer: 2026-05-03 23:20:42,193 [INFO] Iter=260, size=128, max=109.1039, avg=65.7235, min=4.9426, std=25.4061
Trainer: 2026-05-03 23:20:45,469 [INFO] Iter=270, size=128, max=228.3950, avg=155.0151, min=10.9211, std=54.5033
