Trainer: 2026-04-16 12:26:25,617 [INFO] use_for_loop=False
Trainer: 2026-04-16 12:26:25,957 [INFO] Start to train for 3000 iterations.
Trainer: 2026-04-16 12:26:29,904 [INFO] Iter=10, size=128, max=213.4039, avg=162.5211, min=9.1753, std=44.1482
Trainer: 2026-04-16 12:26:32,515 [INFO] Iter=20, size=128, max=222.8375, avg=158.5031, min=10.6687, std=53.6622
Trainer: 2026-04-16 12:26:36,065 [INFO] Iter=30, size=128, max=256.2221, avg=204.1773, min=13.0736, std=44.9188
Trainer: 2026-04-16 12:26:39,831 [INFO] Iter=40, size=128, max=134.2308, avg=81.2414, min=10.5694, std=26.2631
Trainer: 2026-04-16 12:26:43,471 [INFO] Iter=50, size=128, max=228.3543, avg=188.5837, min=17.1997, std=35.3799
Trainer: 2026-04-16 12:26:45,657 [INFO] [TEST] Iter=50, #tests=32, max=503.7121, avg=157.5981, min=-0.0006, std=201.5159
Trainer: 2026-04-16 12:26:49,574 [INFO] Iter=60, size=128, max=190.3942, avg=124.1923, min=7.3865, std=47.7752
Trainer: 2026-04-16 12:26:53,147 [INFO] Iter=70, size=128, max=207.8635, avg=147.0953, min=7.9496, std=47.6335
Trainer: 2026-04-16 12:26:55,828 [INFO] Iter=80, size=128, max=94.9131, avg=67.6680, min=5.6780, std=21.7904
Trainer: 2026-04-16 12:26:59,350 [INFO] Iter=90, size=128, max=170.1995, avg=124.6785, min=4.2665, std=37.7548
Trainer: 2026-04-16 12:27:02,774 [INFO] Iter=100, size=128, max=189.7666, avg=135.6439, min=8.2500, std=37.8009
Trainer: 2026-04-16 12:27:02,808 [INFO] [TEST] Iter=100, #tests=32, max=472.9423, avg=205.7860, min=0.0342, std=193.6342
Trainer: 2026-04-16 12:27:06,372 [INFO] Iter=110, size=128, max=202.4301, avg=155.5577, min=7.3388, std=34.2936
Trainer: 2026-04-16 12:27:09,798 [INFO] Iter=120, size=128, max=213.3683, avg=178.0607, min=8.9546, std=41.5432
Trainer: 2026-04-16 12:27:13,218 [INFO] Iter=130, size=128, max=234.2023, avg=171.9784, min=14.9744, std=57.7479
Trainer: 2026-04-16 12:27:16,688 [INFO] Iter=140, size=128, max=142.9039, avg=112.4920, min=8.2456, std=30.4274
Trainer: 2026-04-16 12:27:20,100 [INFO] Iter=150, size=128, max=184.2267, avg=145.7962, min=10.9882, std=31.5638
Trainer: 2026-04-16 12:27:20,122 [INFO] [TEST] Iter=150, #tests=32, max=505.3991, avg=144.2760, min=0.0256, std=199.0258
Trainer: 2026-04-16 12:27:23,669 [INFO] Iter=160, size=128, max=213.9427, avg=168.2681, min=7.8092, std=48.7565
Trainer: 2026-04-16 12:27:27,341 [INFO] Iter=170, size=128, max=137.0715, avg=105.2881, min=14.1512, std=29.8968
Trainer: 2026-04-16 12:27:31,175 [INFO] Iter=180, size=128, max=156.8336, avg=124.4282, min=10.0265, std=30.4470
