Trainer: 2026-05-03 23:19:06,230 [INFO] use_for_loop=False
Trainer: 2026-05-03 23:19:06,243 [INFO] Start to train for 3000 iterations.
Trainer: 2026-05-03 23:19:11,154 [INFO] Iter=10, size=128, max=203.1674, avg=94.5347, min=14.1795, std=49.5152
Trainer: 2026-05-03 23:19:13,866 [INFO] Iter=20, size=128, max=219.0893, avg=161.7796, min=45.9889, std=34.0591
Trainer: 2026-05-03 23:19:16,462 [INFO] Iter=30, size=128, max=274.3534, avg=215.3819, min=129.9897, std=33.6069
Trainer: 2026-05-03 23:19:18,914 [INFO] Iter=40, size=128, max=152.2995, avg=105.2395, min=44.0592, std=22.7758
Trainer: 2026-05-03 23:19:21,592 [INFO] Iter=50, size=128, max=252.4763, avg=209.9082, min=115.5156, std=21.1094
Trainer: 2026-05-03 23:19:23,091 [INFO] [TEST] Iter=50, #tests=32, max=495.6218, avg=193.0740, min=-0.0006, std=190.6017
Trainer: 2026-05-03 23:19:25,687 [INFO] Iter=60, size=128, max=184.4414, avg=153.0788, min=82.7862, std=16.8156
Trainer: 2026-05-03 23:19:28,190 [INFO] Iter=70, size=128, max=233.9960, avg=210.2872, min=149.4510, std=15.8586
Trainer: 2026-05-03 23:19:30,954 [INFO] Iter=80, size=128, max=117.7631, avg=100.2794, min=53.4890, std=10.0545
Trainer: 2026-05-03 23:19:33,458 [INFO] Iter=90, size=128, max=160.0653, avg=132.8922, min=86.0017, std=13.8270
Trainer: 2026-05-03 23:19:36,046 [INFO] Iter=100, size=128, max=209.1904, avg=174.4870, min=141.8011, std=13.9310
Trainer: 2026-05-03 23:19:36,070 [INFO] [TEST] Iter=100, #tests=32, max=500.1893, avg=181.2799, min=0.0344, std=182.3730
Trainer: 2026-05-03 23:19:38,657 [INFO] Iter=110, size=128, max=222.6773, avg=182.2978, min=131.0064, std=20.6116
Trainer: 2026-05-03 23:19:42,514 [INFO] Iter=120, size=128, max=223.1606, avg=200.1002, min=170.1954, std=10.0134
Trainer: 2026-05-03 23:19:46,997 [INFO] Iter=130, size=128, max=230.2479, avg=207.1689, min=167.7862, std=12.3549
Trainer: 2026-05-03 23:19:49,923 [INFO] Iter=140, size=128, max=149.9747, avg=127.1190, min=94.6311, std=8.4829
