Trainer: 2026-05-04 00:14:34,146 [INFO] use_for_loop=False
Trainer: 2026-05-04 00:14:34,385 [INFO] Start to train for 6000 iterations.
Trainer: 2026-05-04 00:14:41,647 [INFO] Iter=10, size=128, max=64.6907, avg=26.2296, min=9.9891, std=12.8231
Trainer: 2026-05-04 00:14:48,984 [INFO] Iter=20, size=128, max=35.3022, avg=14.4040, min=8.0684, std=6.1485
Trainer: 2026-05-04 00:14:57,423 [INFO] Iter=30, size=128, max=68.1348, avg=31.8830, min=13.5748, std=10.6802
Trainer: 2026-05-04 00:15:06,282 [INFO] Iter=40, size=128, max=34.7191, avg=19.1597, min=9.5464, std=6.1981
Trainer: 2026-05-04 00:15:13,683 [INFO] Iter=50, size=128, max=51.8068, avg=22.7294, min=12.7366, std=7.0359
Trainer: 2026-05-04 00:15:15,265 [INFO] [TEST] Iter=50, #tests=32, max=191.4076, avg=22.9447, min=-0.0006, std=40.1243
Trainer: 2026-05-04 00:15:23,046 [INFO] Iter=60, size=128, max=39.2595, avg=13.6189, min=8.2626, std=5.0341
Trainer: 2026-05-04 00:15:30,765 [INFO] Iter=70, size=128, max=74.6279, avg=32.0106, min=14.5444, std=12.0028
Trainer: 2026-05-04 00:15:38,625 [INFO] Iter=80, size=128, max=37.8025, avg=19.1997, min=9.5737, std=6.7359
Trainer: 2026-05-04 00:15:46,075 [INFO] Iter=90, size=128, max=31.2893, avg=17.1457, min=11.2224, std=4.7532
Trainer: 2026-05-04 00:15:54,179 [INFO] Iter=100, size=128, max=51.9640, avg=24.2645, min=12.7625, std=7.0822
Trainer: 2026-05-04 00:15:54,194 [INFO] [TEST] Iter=100, #tests=32, max=485.0562, avg=35.7421, min=0.0339, std=99.4035
Trainer: 2026-05-04 00:16:02,668 [INFO] Iter=110, size=128, max=38.8958, avg=20.9551, min=8.4211, std=6.4928
Trainer: 2026-05-04 00:16:10,958 [INFO] Iter=120, size=128, max=55.5928, avg=29.4905, min=13.0732, std=10.2823
Trainer: 2026-05-04 00:16:19,887 [INFO] Iter=130, size=128, max=57.1949, avg=28.9499, min=10.8317, std=9.2840
Trainer: 2026-05-04 00:16:28,947 [INFO] Iter=140, size=128, max=35.8957, avg=16.7546, min=9.7311, std=5.0295
Trainer: 2026-05-04 00:16:37,033 [INFO] Iter=150, size=128, max=44.8814, avg=26.7486, min=15.6616, std=6.3194
Trainer: 2026-05-04 00:16:37,052 [INFO] [TEST] Iter=150, #tests=32, max=35.5705, avg=7.7129, min=0.0292, std=9.3777
Trainer: 2026-05-04 00:16:45,644 [INFO] Iter=160, size=128, max=49.7939, avg=26.6569, min=9.2154, std=6.8245
Trainer: 2026-05-04 00:16:53,062 [INFO] Iter=170, size=128, max=33.8469, avg=19.4980, min=11.2983, std=4.7951
Trainer: 2026-05-04 00:17:01,170 [INFO] Iter=180, size=128, max=41.6533, avg=20.5353, min=13.5670, std=5.9727
Trainer: 2026-05-04 00:17:08,152 [INFO] Iter=190, size=128, max=25.3004, avg=12.7750, min=9.0903, std=3.2873
Trainer: 2026-05-04 00:17:16,551 [INFO] Iter=200, size=128, max=34.5041, avg=17.7918, min=7.5178, std=6.5878
Trainer: 2026-05-04 00:17:16,595 [INFO] [TEST] Iter=200, #tests=32, max=115.8391, avg=11.5383, min=-0.0109, std=22.0788
Trainer: 2026-05-04 00:17:25,335 [INFO] Iter=210, size=128, max=49.8198, avg=16.8906, min=9.3290, std=6.8528
Trainer: 2026-05-04 00:17:33,290 [INFO] Iter=220, size=128, max=46.2621, avg=25.3435, min=8.5655, std=9.6185
Trainer: 2026-05-04 00:17:41,620 [INFO] Iter=230, size=128, max=49.9695, avg=27.4277, min=13.5921, std=8.7946
Trainer: 2026-05-04 00:17:49,113 [INFO] Iter=240, size=128, max=50.2805, avg=20.6987, min=10.3208, std=7.4204
Trainer: 2026-05-04 00:18:09,931 [INFO] Iter=250, size=128, max=29.1425, avg=16.1279, min=8.0383, std=4.9412
Trainer: 2026-05-04 00:18:09,989 [INFO] [TEST] Iter=250, #tests=32, max=420.2031, avg=36.9541, min=-0.0000, std=83.2040
Trainer: 2026-05-04 00:18:21,518 [INFO] Iter=260, size=128, max=32.0421, avg=13.4796, min=6.6662, std=5.2745
Trainer: 2026-05-04 00:18:30,561 [INFO] Iter=270, size=128, max=35.9966, avg=22.6074, min=11.0901, std=5.9157
