Trainer: 2026-05-04 00:14:38,837 [INFO] use_for_loop=False
Trainer: 2026-05-04 00:14:38,852 [INFO] Start to train for 6000 iterations.
Trainer: 2026-05-04 00:14:46,530 [INFO] Iter=10, size=128, max=37.3454, avg=22.3108, min=12.5533, std=6.0374
Trainer: 2026-05-04 00:14:52,741 [INFO] Iter=20, size=128, max=24.3017, avg=11.2819, min=7.6694, std=3.1410
Trainer: 2026-05-04 00:14:59,424 [INFO] Iter=30, size=128, max=56.4547, avg=28.3569, min=12.6515, std=8.7090
Trainer: 2026-05-04 00:15:06,278 [INFO] Iter=40, size=128, max=32.0516, avg=16.4416, min=9.2646, std=4.2842
Trainer: 2026-05-04 00:15:12,388 [INFO] Iter=50, size=128, max=35.1381, avg=20.2114, min=13.8667, std=4.4376
Trainer: 2026-05-04 00:15:13,692 [INFO] [TEST] Iter=50, #tests=32, max=409.9023, avg=46.6750, min=-0.0006, std=109.6077
Trainer: 2026-05-04 00:15:19,013 [INFO] Iter=60, size=128, max=23.3118, avg=12.1770, min=8.6616, std=2.6877
Trainer: 2026-05-04 00:15:25,179 [INFO] Iter=70, size=128, max=51.0922, avg=27.0225, min=16.1929, std=6.3911
Trainer: 2026-05-04 00:15:31,339 [INFO] Iter=80, size=128, max=31.1241, avg=13.3055, min=9.2778, std=3.0282
Trainer: 2026-05-04 00:15:37,626 [INFO] Iter=90, size=128, max=32.3711, avg=17.9582, min=10.0673, std=4.1732
Trainer: 2026-05-04 00:15:43,428 [INFO] Iter=100, size=128, max=37.9361, avg=24.7821, min=12.9797, std=5.5797
Trainer: 2026-05-04 00:15:43,450 [INFO] [TEST] Iter=100, #tests=32, max=148.9791, avg=22.1264, min=0.0344, std=34.0863
Trainer: 2026-05-04 00:15:49,606 [INFO] Iter=110, size=128, max=27.7570, avg=15.6579, min=11.3460, std=3.2533
Trainer: 2026-05-04 00:15:56,135 [INFO] Iter=120, size=128, max=50.6082, avg=22.3820, min=12.2834, std=6.9901
Trainer: 2026-05-04 00:16:02,737 [INFO] Iter=130, size=128, max=36.0533, avg=19.1027, min=12.1481, std=3.6746
Trainer: 2026-05-04 00:16:09,413 [INFO] Iter=140, size=128, max=43.4013, avg=25.3047, min=11.2706, std=6.8583
Trainer: 2026-05-04 00:16:16,423 [INFO] Iter=150, size=128, max=49.3572, avg=27.2215, min=14.8976, std=6.6567
Trainer: 2026-05-04 00:16:16,438 [INFO] [TEST] Iter=150, #tests=32, max=103.1231, avg=13.8207, min=0.0263, std=22.4155
Trainer: 2026-05-04 00:16:22,626 [INFO] Iter=160, size=128, max=32.6678, avg=16.7333, min=9.6004, std=6.3898
Trainer: 2026-05-04 00:16:29,244 [INFO] Iter=170, size=128, max=41.6408, avg=25.1492, min=12.2255, std=5.8902
Trainer: 2026-05-04 00:16:35,372 [INFO] Iter=180, size=128, max=27.4398, avg=17.9939, min=14.0906, std=3.5596
Trainer: 2026-05-04 00:16:41,527 [INFO] Iter=190, size=128, max=44.3874, avg=26.4677, min=16.9447, std=5.2752
Trainer: 2026-05-04 00:16:47,962 [INFO] Iter=200, size=128, max=35.6437, avg=22.4293, min=12.5279, std=5.8496
Trainer: 2026-05-04 00:16:47,977 [INFO] [TEST] Iter=200, #tests=32, max=182.6963, avg=15.6081, min=-0.0109, std=32.5411
Trainer: 2026-05-04 00:16:53,583 [INFO] Iter=210, size=128, max=24.5244, avg=13.7629, min=10.3357, std=2.7634
Trainer: 2026-05-04 00:16:59,731 [INFO] Iter=220, size=128, max=40.6507, avg=21.6165, min=8.2583, std=7.3998
Trainer: 2026-05-04 00:17:05,247 [INFO] Iter=230, size=128, max=39.4690, avg=19.6010, min=14.0915, std=4.6275
Trainer: 2026-05-04 00:17:11,095 [INFO] Iter=240, size=128, max=36.6027, avg=21.9839, min=11.3344, std=6.1893
Trainer: 2026-05-04 00:17:17,286 [INFO] Iter=250, size=128, max=24.9615, avg=15.0587, min=8.9293, std=3.5576
Trainer: 2026-05-04 00:17:17,303 [INFO] [TEST] Iter=250, #tests=32, max=123.0675, avg=25.1002, min=-0.0000, std=33.9681
Trainer: 2026-05-04 00:17:24,154 [INFO] Iter=260, size=128, max=27.9342, avg=18.1133, min=11.7005, std=4.0475
Trainer: 2026-05-04 00:17:30,189 [INFO] Iter=270, size=128, max=32.9822, avg=22.1253, min=12.5220, std=5.2771
Trainer: 2026-05-04 00:17:36,204 [INFO] Iter=280, size=128, max=50.5779, avg=27.0159, min=17.5384, std=4.6826
Trainer: 2026-05-04 00:17:42,427 [INFO] Iter=290, size=128, max=30.5179, avg=20.7011, min=15.3166, std=2.7158
Trainer: 2026-05-04 00:17:48,200 [INFO] Iter=300, size=128, max=30.7224, avg=19.3235, min=12.7325, std=3.8559
Trainer: 2026-05-04 00:17:48,218 [INFO] [TEST] Iter=300, #tests=32, max=142.6427, avg=16.5680, min=0.0398, std=26.4880
Trainer: 2026-05-04 00:18:00,284 [INFO] Iter=310, size=128, max=34.1817, avg=20.2076, min=10.3624, std=5.1333
Trainer: 2026-05-04 00:18:13,104 [INFO] Iter=320, size=128, max=42.8970, avg=28.4948, min=20.5915, std=4.0254
Trainer: 2026-05-04 00:18:21,725 [INFO] Iter=330, size=128, max=23.3659, avg=13.2948, min=6.9360, std=4.0280
Trainer: 2026-05-04 00:18:28,665 [INFO] Iter=340, size=128, max=33.0090, avg=19.4477, min=14.3347, std=4.1863
Trainer: 2026-05-04 00:18:35,264 [INFO] Iter=350, size=128, max=37.0759, avg=20.0355, min=12.2110, std=4.7556
Trainer: 2026-05-04 00:18:35,308 [INFO] [TEST] Iter=350, #tests=32, max=95.1931, avg=14.6174, min=-0.0008, std=19.3553
Trainer: 2026-05-04 00:18:41,513 [INFO] Iter=360, size=128, max=36.9326, avg=27.9691, min=13.5880, std=4.7538
Trainer: 2026-05-04 00:18:47,715 [INFO] Iter=370, size=128, max=22.9917, avg=13.6742, min=11.9032, std=1.9480
Trainer: 2026-05-04 00:18:54,415 [INFO] Iter=380, size=128, max=43.9091, avg=27.1354, min=20.7061, std=3.1717
Trainer: 2026-05-04 00:19:01,362 [INFO] Iter=390, size=128, max=29.2056, avg=19.0298, min=11.8476, std=3.9869
Trainer: 2026-05-04 00:19:08,180 [INFO] Iter=400, size=128, max=44.8769, avg=32.3787, min=19.0568, std=4.9990
Trainer: 2026-05-04 00:19:08,214 [INFO] [TEST] Iter=400, #tests=32, max=192.2206, avg=25.6856, min=0.1924, std=38.6114
Trainer: 2026-05-04 00:19:15,099 [INFO] Iter=410, size=128, max=34.1811, avg=21.3048, min=13.7068, std=4.1099
Trainer: 2026-05-04 00:19:21,985 [INFO] Iter=420, size=128, max=26.4918, avg=19.0697, min=13.7185, std=2.7941
Trainer: 2026-05-04 00:19:28,163 [INFO] Iter=430, size=128, max=51.5501, avg=34.2095, min=21.4505, std=5.7698
