Trainer: 2026-04-16 04:52:16,643 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:52:16,671 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:52:25,228 [INFO] Iter=10, size=128, max=253.0929, avg=48.0307, min=11.6551, std=35.2392
Trainer: 2026-04-16 04:52:30,397 [INFO] Iter=20, size=128, max=308.4492, avg=108.9651, min=15.9597, std=77.7612
Trainer: 2026-04-16 04:52:35,660 [INFO] Iter=30, size=128, max=426.8679, avg=192.9038, min=45.1842, std=106.5288
Trainer: 2026-04-16 04:52:41,156 [INFO] Iter=40, size=128, max=331.2596, avg=224.7178, min=34.2611, std=74.5161
Trainer: 2026-04-16 04:52:46,693 [INFO] Iter=50, size=128, max=434.5208, avg=296.9146, min=54.0469, std=84.8285
Trainer: 2026-04-16 04:52:48,495 [INFO] [TEST] Iter=50, #tests=32, max=663.2842, avg=406.7594, min=-0.0006, std=293.8992
Trainer: 2026-04-16 04:52:53,567 [INFO] Iter=60, size=128, max=375.2885, avg=272.4536, min=30.8988, std=70.1966
Trainer: 2026-04-16 04:52:58,771 [INFO] Iter=70, size=128, max=514.9653, avg=394.8038, min=57.4423, std=82.7888
Trainer: 2026-04-16 04:53:05,421 [INFO] Iter=80, size=128, max=301.0052, avg=243.9710, min=41.4830, std=36.3767
Trainer: 2026-04-16 04:53:10,724 [INFO] Iter=90, size=128, max=339.0177, avg=288.3241, min=127.3301, std=34.2681
Trainer: 2026-04-16 04:53:15,706 [INFO] Iter=100, size=128, max=353.3804, avg=308.4910, min=93.1248, std=40.8720
Trainer: 2026-04-16 04:53:15,734 [INFO] [TEST] Iter=100, #tests=32, max=662.8014, avg=477.7903, min=0.0344, std=254.2859
Trainer: 2026-04-16 04:53:21,409 [INFO] Iter=110, size=128, max=483.6126, avg=384.8690, min=65.9921, std=69.6771
Trainer: 2026-04-16 04:53:26,145 [INFO] Iter=120, size=128, max=407.2778, avg=333.8805, min=77.7970, std=53.9825
Trainer: 2026-04-16 04:53:30,824 [INFO] Iter=130, size=128, max=587.9310, avg=495.4846, min=291.7881, std=50.1910
Trainer: 2026-04-16 04:53:36,423 [INFO] Iter=140, size=128, max=444.2658, avg=381.2526, min=233.3884, std=35.0591
Trainer: 2026-04-16 04:53:41,479 [INFO] Iter=150, size=128, max=499.7199, avg=421.3029, min=231.7012, std=46.6667
Trainer: 2026-04-16 04:53:41,498 [INFO] [TEST] Iter=150, #tests=32, max=744.4933, avg=333.0279, min=0.0263, std=329.6178
Trainer: 2026-04-16 04:53:46,608 [INFO] Iter=160, size=128, max=409.1283, avg=360.8141, min=295.4895, std=24.9327
Trainer: 2026-04-16 04:53:51,483 [INFO] Iter=170, size=128, max=472.6851, avg=385.7676, min=123.7919, std=47.9576
Trainer: 2026-04-16 04:53:56,867 [INFO] Iter=180, size=128, max=394.6285, avg=325.1173, min=136.8240, std=42.1067
Trainer: 2026-04-16 04:54:03,090 [INFO] Iter=190, size=128, max=342.5675, avg=289.7444, min=81.4460, std=40.5490
Trainer: 2026-04-16 04:54:08,506 [INFO] Iter=200, size=128, max=434.8108, avg=367.4662, min=137.6815, std=40.6458
Trainer: 2026-04-16 04:54:08,530 [INFO] [TEST] Iter=200, #tests=32, max=764.0972, avg=404.7454, min=-0.0109, std=335.7380
Trainer: 2026-04-16 04:54:13,635 [INFO] Iter=210, size=128, max=358.0052, avg=289.9223, min=180.8739, std=36.0268
Trainer: 2026-04-16 04:54:16,662 [INFO] Iter=220, size=128, max=579.9787, avg=484.6560, min=162.8313, std=54.0609
Trainer: 2026-04-16 04:54:19,671 [INFO] Iter=230, size=128, max=502.1322, avg=429.8214, min=173.9757, std=40.7480
Trainer: 2026-04-16 04:54:23,163 [INFO] Iter=240, size=128, max=487.8541, avg=416.2856, min=330.9229, std=33.5679
Trainer: 2026-04-16 04:54:26,206 [INFO] Iter=250, size=128, max=411.4489, avg=358.2095, min=279.5519, std=27.1760
Trainer: 2026-04-16 04:54:26,224 [INFO] [TEST] Iter=250, #tests=32, max=827.8188, avg=463.8875, min=-0.0000, std=358.0677
Trainer: 2026-04-16 04:54:29,205 [INFO] Iter=260, size=128, max=304.9936, avg=271.8606, min=181.4663, std=25.9567
Trainer: 2026-04-16 04:54:32,210 [INFO] Iter=270, size=128, max=514.3640, avg=445.4319, min=333.7441, std=35.6591
Trainer: 2026-04-16 04:54:35,065 [INFO] Iter=280, size=128, max=512.3393, avg=444.5935, min=314.6575, std=37.6913
Trainer: 2026-04-16 04:54:37,825 [INFO] Iter=290, size=128, max=550.9136, avg=479.2189, min=330.1805, std=39.1017
Trainer: 2026-04-16 04:54:40,593 [INFO] Iter=300, size=128, max=426.3144, avg=380.2894, min=252.0477, std=34.7329
Trainer: 2026-04-16 04:54:40,607 [INFO] [TEST] Iter=300, #tests=32, max=750.4749, avg=522.3019, min=0.0052, std=301.0915
Trainer: 2026-04-16 04:54:43,639 [INFO] Iter=310, size=128, max=234.4984, avg=201.5469, min=124.3048, std=17.3068
Trainer: 2026-04-16 04:54:46,424 [INFO] Iter=320, size=128, max=423.3922, avg=379.8025, min=171.9006, std=37.3578
Trainer: 2026-04-16 04:54:49,207 [INFO] Iter=330, size=128, max=463.2633, avg=403.2264, min=234.7922, std=37.1096
Trainer: 2026-04-16 04:54:52,317 [INFO] Iter=340, size=128, max=623.4908, avg=568.3371, min=403.8404, std=40.7749
Trainer: 2026-04-16 04:54:55,207 [INFO] Iter=350, size=128, max=560.4542, avg=491.9177, min=311.2687, std=51.5412
Trainer: 2026-04-16 04:54:55,223 [INFO] [TEST] Iter=350, #tests=32, max=824.4778, avg=445.4567, min=-0.0008, std=368.8353
Trainer: 2026-04-16 04:54:58,139 [INFO] Iter=360, size=128, max=515.5447, avg=459.2198, min=252.3908, std=48.1897
Trainer: 2026-04-16 04:55:01,047 [INFO] Iter=370, size=128, max=338.4140, avg=298.4439, min=200.1865, std=24.0452
Trainer: 2026-04-16 04:55:03,827 [INFO] Iter=380, size=128, max=569.5380, avg=513.8231, min=227.6953, std=47.4654
Trainer: 2026-04-16 04:55:07,054 [INFO] Iter=390, size=128, max=318.9592, avg=296.8383, min=230.4554, std=16.3526
Trainer: 2026-04-16 04:55:09,943 [INFO] Iter=400, size=128, max=553.3616, avg=506.3417, min=351.8370, std=36.4936
