DeceptiveMaze: 2026-05-04 02:37:21,417 [INFO] ==================================================
DeceptiveMaze: 2026-05-04 02:37:21,417 [INFO] Deceptive Maze — algo=hyperneat, use_novelty=True
DeceptiveMaze: 2026-05-04 02:37:21,428 [INFO] Policy num_params=290
DeceptiveMaze: 2026-05-04 02:37:21,428 [INFO] use_for_loop=False
DeceptiveMaze: 2026-05-04 02:37:21,558 [INFO] Start to train for 600 iterations.
DeceptiveMaze: 2026-05-04 02:37:23,201 [INFO] Iter=20, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=355, novelty_avg=4.70
DeceptiveMaze: 2026-05-04 02:37:24,604 [INFO] [TEST] Iter=25, #tests=32, raw_max=100.000, raw_avg=84.375, success_rate=0.844
DeceptiveMaze: 2026-05-04 02:37:24,842 [INFO] Iter=40, raw_max=66.667, raw_avg=5.208, raw_min=0.000, arch=564, novelty_avg=5.37
DeceptiveMaze: 2026-05-04 02:37:25,022 [INFO] [TEST] Iter=50, #tests=32, raw_max=100.000, raw_avg=93.750, success_rate=0.938
DeceptiveMaze: 2026-05-04 02:37:25,235 [INFO] Iter=60, raw_max=100.000, raw_avg=3.125, raw_min=0.000, arch=667, novelty_avg=4.59
DeceptiveMaze: 2026-05-04 02:37:25,484 [INFO] [TEST] Iter=75, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
DeceptiveMaze: 2026-05-04 02:37:25,567 [INFO] Iter=80, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=694, novelty_avg=3.54
DeceptiveMaze: 2026-05-04 02:37:25,879 [INFO] Iter=100, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=738, novelty_avg=4.21
DeceptiveMaze: 2026-05-04 02:37:25,883 [INFO] [TEST] Iter=100, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
DeceptiveMaze: 2026-05-04 02:37:26,214 [INFO] Iter=120, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=757, novelty_avg=3.96
DeceptiveMaze: 2026-05-04 02:37:26,308 [INFO] [TEST] Iter=125, #tests=32, raw_max=100.000, raw_avg=93.750, success_rate=0.938
DeceptiveMaze: 2026-05-04 02:37:26,574 [INFO] Iter=140, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=763, novelty_avg=4.11
DeceptiveMaze: 2026-05-04 02:37:26,744 [INFO] [TEST] Iter=150, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
