DeceptiveMaze: 2026-05-04 02:37:21,417 [INFO] ==================================================
DeceptiveMaze: 2026-05-04 02:37:21,417 [INFO] Deceptive Maze — algo=neat, use_novelty=True
DeceptiveMaze: 2026-05-04 02:37:21,427 [INFO] Policy num_params=518
DeceptiveMaze: 2026-05-04 02:37:21,427 [INFO] use_for_loop=False
DeceptiveMaze: 2026-05-04 02:37:21,559 [INFO] Start to train for 600 iterations.
DeceptiveMaze: 2026-05-04 02:37:23,104 [INFO] Iter=20, raw_max=100.000, raw_avg=6.250, raw_min=0.000, arch=616, novelty_avg=5.22
DeceptiveMaze: 2026-05-04 02:37:24,264 [INFO] [TEST] Iter=25, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:24,568 [INFO] Iter=40, raw_max=33.333, raw_avg=1.563, raw_min=0.000, arch=734, novelty_avg=4.99
DeceptiveMaze: 2026-05-04 02:37:24,801 [INFO] [TEST] Iter=50, #tests=32, raw_max=100.000, raw_avg=34.375, success_rate=0.344
DeceptiveMaze: 2026-05-04 02:37:25,046 [INFO] Iter=60, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=760, novelty_avg=4.87
DeceptiveMaze: 2026-05-04 02:37:25,376 [INFO] [TEST] Iter=75, #tests=32, raw_max=100.000, raw_avg=56.250, success_rate=0.562
DeceptiveMaze: 2026-05-04 02:37:25,484 [INFO] Iter=80, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=772, novelty_avg=4.80
DeceptiveMaze: 2026-05-04 02:37:25,959 [INFO] Iter=100, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=777, novelty_avg=5.04
DeceptiveMaze: 2026-05-04 02:37:25,966 [INFO] [TEST] Iter=100, #tests=32, raw_max=100.000, raw_avg=25.000, success_rate=0.250
DeceptiveMaze: 2026-05-04 02:37:26,441 [INFO] Iter=120, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=786, novelty_avg=4.84
DeceptiveMaze: 2026-05-04 02:37:26,588 [INFO] [TEST] Iter=125, #tests=32, raw_max=100.000, raw_avg=43.750, success_rate=0.438
DeceptiveMaze: 2026-05-04 02:37:26,950 [INFO] Iter=140, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=795, novelty_avg=5.09
DeceptiveMaze: 2026-05-04 02:37:27,200 [INFO] [TEST] Iter=150, #tests=32, raw_max=100.000, raw_avg=37.500, success_rate=0.375
DeceptiveMaze: 2026-05-04 02:37:27,478 [INFO] Iter=160, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=796, novelty_avg=4.75
DeceptiveMaze: 2026-05-04 02:37:27,855 [INFO] [TEST] Iter=175, #tests=32, raw_max=100.000, raw_avg=25.000, success_rate=0.250
DeceptiveMaze: 2026-05-04 02:37:28,016 [INFO] Iter=180, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=799, novelty_avg=4.96
DeceptiveMaze: 2026-05-04 02:37:28,630 [INFO] Iter=200, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=800, novelty_avg=4.89
DeceptiveMaze: 2026-05-04 02:37:28,640 [INFO] [TEST] Iter=200, #tests=32, raw_max=100.000, raw_avg=37.500, success_rate=0.375
DeceptiveMaze: 2026-05-04 02:37:29,183 [INFO] Iter=220, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=803, novelty_avg=4.76
DeceptiveMaze: 2026-05-04 02:37:29,354 [INFO] [TEST] Iter=225, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:29,817 [INFO] Iter=240, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=805, novelty_avg=4.63
DeceptiveMaze: 2026-05-04 02:37:30,119 [INFO] [TEST] Iter=250, #tests=32, raw_max=100.000, raw_avg=28.125, success_rate=0.281
DeceptiveMaze: 2026-05-04 02:37:30,408 [INFO] Iter=260, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=808, novelty_avg=4.94
DeceptiveMaze: 2026-05-04 02:37:30,794 [INFO] [TEST] Iter=275, #tests=32, raw_max=100.000, raw_avg=40.625, success_rate=0.406
DeceptiveMaze: 2026-05-04 02:37:30,942 [INFO] Iter=280, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=809, novelty_avg=5.16
DeceptiveMaze: 2026-05-04 02:37:31,491 [INFO] Iter=300, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=809, novelty_avg=4.90
DeceptiveMaze: 2026-05-04 02:37:31,494 [INFO] [TEST] Iter=300, #tests=32, raw_max=100.000, raw_avg=37.500, success_rate=0.375
DeceptiveMaze: 2026-05-04 02:37:32,044 [INFO] Iter=320, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=809, novelty_avg=4.82
DeceptiveMaze: 2026-05-04 02:37:32,199 [INFO] [TEST] Iter=325, #tests=32, raw_max=100.000, raw_avg=40.625, success_rate=0.406
DeceptiveMaze: 2026-05-04 02:37:32,599 [INFO] Iter=340, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=809, novelty_avg=4.92
DeceptiveMaze: 2026-05-04 02:37:32,893 [INFO] [TEST] Iter=350, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:33,183 [INFO] Iter=360, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=809, novelty_avg=4.90
DeceptiveMaze: 2026-05-04 02:37:33,618 [INFO] [TEST] Iter=375, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:33,758 [INFO] Iter=380, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=810, novelty_avg=4.97
DeceptiveMaze: 2026-05-04 02:37:34,337 [INFO] Iter=400, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=810, novelty_avg=4.79
DeceptiveMaze: 2026-05-04 02:37:34,343 [INFO] [TEST] Iter=400, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:34,980 [INFO] Iter=420, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=811, novelty_avg=4.81
DeceptiveMaze: 2026-05-04 02:37:35,130 [INFO] [TEST] Iter=425, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:35,608 [INFO] Iter=440, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=811, novelty_avg=4.93
DeceptiveMaze: 2026-05-04 02:37:35,930 [INFO] [TEST] Iter=450, #tests=32, raw_max=100.000, raw_avg=50.000, success_rate=0.500
DeceptiveMaze: 2026-05-04 02:37:36,240 [INFO] Iter=460, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=811, novelty_avg=4.44
DeceptiveMaze: 2026-05-04 02:37:36,689 [INFO] [TEST] Iter=475, #tests=32, raw_max=100.000, raw_avg=59.375, success_rate=0.594
DeceptiveMaze: 2026-05-04 02:37:36,832 [INFO] Iter=480, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=812, novelty_avg=4.93
DeceptiveMaze: 2026-05-04 02:37:37,458 [INFO] Iter=500, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=812, novelty_avg=4.81
DeceptiveMaze: 2026-05-04 02:37:37,461 [INFO] [TEST] Iter=500, #tests=32, raw_max=100.000, raw_avg=46.875, success_rate=0.469
DeceptiveMaze: 2026-05-04 02:37:38,092 [INFO] Iter=520, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=813, novelty_avg=4.68
DeceptiveMaze: 2026-05-04 02:37:38,240 [INFO] [TEST] Iter=525, #tests=32, raw_max=100.000, raw_avg=31.250, success_rate=0.312
DeceptiveMaze: 2026-05-04 02:37:38,705 [INFO] Iter=540, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=814, novelty_avg=4.81
DeceptiveMaze: 2026-05-04 02:37:39,022 [INFO] [TEST] Iter=550, #tests=32, raw_max=100.000, raw_avg=40.625, success_rate=0.406
