DeceptiveMaze: 2026-05-04 02:30:16,276 [INFO] ==================================================
DeceptiveMaze: 2026-05-04 02:30:16,276 [INFO] Deceptive Maze — algo=hyperneat, use_novelty=True
DeceptiveMaze: 2026-05-04 02:30:16,276 [INFO] pop=64, iters=400, n_repeats=3, max_steps=200
DeceptiveMaze: 2026-05-04 02:30:16,278 [INFO] Policy num_params=290
DeceptiveMaze: 2026-05-04 02:30:16,278 [INFO] use_for_loop=False
DeceptiveMaze: 2026-05-04 02:30:16,314 [INFO] Start to train for 400 iterations.
DeceptiveMaze: 2026-05-04 02:30:17,559 [INFO] Iter=10, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=188, novelty_avg=4.25
DeceptiveMaze: 2026-05-04 02:30:17,645 [INFO] Iter=20, raw_max=66.667, raw_avg=2.604, raw_min=0.000, arch=305, novelty_avg=5.61
DeceptiveMaze: 2026-05-04 02:30:18,774 [INFO] [TEST] Iter=20, #tests=32, raw_max=100.000, raw_avg=68.750, success_rate=0.688
DeceptiveMaze: 2026-05-04 02:30:18,867 [INFO] Iter=30, raw_max=100.000, raw_avg=2.604, raw_min=0.000, arch=435, novelty_avg=5.09
DeceptiveMaze: 2026-05-04 02:30:18,966 [INFO] Iter=40, raw_max=66.667, raw_avg=1.042, raw_min=0.000, arch=523, novelty_avg=4.71
DeceptiveMaze: 2026-05-04 02:30:18,970 [INFO] [TEST] Iter=40, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:19,081 [INFO] Iter=50, raw_max=66.667, raw_avg=1.563, raw_min=0.000, arch=564, novelty_avg=3.95
DeceptiveMaze: 2026-05-04 02:30:19,172 [INFO] Iter=60, raw_max=33.333, raw_avg=1.042, raw_min=0.000, arch=605, novelty_avg=4.11
DeceptiveMaze: 2026-05-04 02:30:19,175 [INFO] [TEST] Iter=60, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:19,268 [INFO] Iter=70, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=648, novelty_avg=4.23
