DeceptiveMaze: 2026-05-04 02:20:44,617 [INFO] ==================================================
DeceptiveMaze: 2026-05-04 02:20:44,617 [INFO] Deceptive Maze — algo=neat, use_novelty=True
DeceptiveMaze: 2026-05-04 02:20:44,617 [INFO] pop=64, iters=400, n_repeats=3, max_steps=200
DeceptiveMaze: 2026-05-04 02:20:44,620 [INFO] Policy num_params=518
DeceptiveMaze: 2026-05-04 02:20:44,620 [INFO] use_for_loop=False
DeceptiveMaze: 2026-05-04 02:20:44,761 [INFO] Start to train for 400 iterations.
DeceptiveMaze: 2026-05-04 02:20:45,955 [INFO] Iter=10, raw_max=100.000, raw_avg=26.562, raw_min=0.000, arch=463, novelty_avg=6.29
DeceptiveMaze: 2026-05-04 02:20:46,111 [INFO] Iter=20, raw_max=100.000, raw_avg=2.604, raw_min=0.000, arch=709, novelty_avg=5.42
DeceptiveMaze: 2026-05-04 02:20:47,079 [INFO] [TEST] Iter=20, #tests=32, raw_max=100.000, raw_avg=87.500, success_rate=0.875
DeceptiveMaze: 2026-05-04 02:20:47,230 [INFO] Iter=30, raw_max=66.667, raw_avg=1.042, raw_min=0.000, arch=770, novelty_avg=5.00
DeceptiveMaze: 2026-05-04 02:20:47,368 [INFO] Iter=40, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=801, novelty_avg=4.90
DeceptiveMaze: 2026-05-04 02:20:47,371 [INFO] [TEST] Iter=40, #tests=32, raw_max=100.000, raw_avg=87.500, success_rate=0.875
DeceptiveMaze: 2026-05-04 02:20:47,545 [INFO] Iter=50, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=819, novelty_avg=4.95
DeceptiveMaze: 2026-05-04 02:20:47,708 [INFO] Iter=60, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=824, novelty_avg=4.88
DeceptiveMaze: 2026-05-04 02:20:47,711 [INFO] [TEST] Iter=60, #tests=32, raw_max=100.000, raw_avg=84.375, success_rate=0.844
DeceptiveMaze: 2026-05-04 02:20:47,867 [INFO] Iter=70, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=833, novelty_avg=5.05
DeceptiveMaze: 2026-05-04 02:20:48,032 [INFO] Iter=80, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=835, novelty_avg=4.71
