Trainer: 2026-04-16 04:05:44,354 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:05:44,373 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:06:06,671 [INFO] Iter=10, size=128, max=-27.5000, avg=-31.3994, min=-36.2500, std=1.6359
Trainer: 2026-04-16 04:06:25,549 [INFO] Iter=20, size=128, max=-23.7500, avg=-29.8008, min=-35.1250, std=1.8882
Trainer: 2026-04-16 04:06:44,093 [INFO] Iter=30, size=128, max=-21.3750, avg=-27.5645, min=-33.8750, std=2.3338
Trainer: 2026-04-16 04:07:04,298 [INFO] Iter=40, size=128, max=-21.7500, avg=-27.0879, min=-35.2500, std=2.1147
Trainer: 2026-04-16 04:07:23,806 [INFO] Iter=50, size=128, max=-19.6250, avg=-25.3027, min=-33.6250, std=2.3640
Trainer: 2026-04-16 04:07:25,505 [INFO] [TEST] Iter=50, #tests=50, max=-3.0000, avg=-4.8400, min=-5.0000, std=0.4630
Trainer: 2026-04-16 04:07:44,557 [INFO] Iter=60, size=128, max=-19.0000, avg=-24.3838, min=-32.1250, std=2.4357
Trainer: 2026-04-16 04:08:03,940 [INFO] Iter=70, size=128, max=-17.6250, avg=-22.7393, min=-30.2500, std=2.4354
Trainer: 2026-04-16 04:08:23,895 [INFO] Iter=80, size=128, max=-16.5000, avg=-21.8281, min=-30.5000, std=2.5189
Trainer: 2026-04-16 04:08:43,112 [INFO] Iter=90, size=128, max=-16.2500, avg=-20.5771, min=-30.5000, std=2.7073
Trainer: 2026-04-16 04:09:02,764 [INFO] Iter=100, size=128, max=-11.7500, avg=-20.3066, min=-30.0000, std=3.0441
Trainer: 2026-04-16 04:09:02,918 [INFO] [TEST] Iter=100, #tests=50, max=-3.0000, avg=-4.8400, min=-5.0000, std=0.4176
Trainer: 2026-04-16 04:09:22,210 [INFO] Iter=110, size=128, max=-10.7500, avg=-18.5996, min=-27.6250, std=2.7459
Trainer: 2026-04-16 04:09:43,606 [INFO] Iter=120, size=128, max=-11.1250, avg=-17.7549, min=-27.1250, std=3.0221
Trainer: 2026-04-16 04:10:11,186 [INFO] Iter=130, size=128, max=-10.8750, avg=-16.9170, min=-29.2500, std=3.2343
Trainer: 2026-04-16 04:10:32,340 [INFO] Iter=140, size=128, max=-9.0000, avg=-16.3789, min=-27.7500, std=3.0005
Trainer: 2026-04-16 04:10:52,514 [INFO] Iter=150, size=128, max=-10.5000, avg=-16.0459, min=-25.0000, std=2.9507
